Speed (m/s),Speed std (m/s),Threshold (N),Peak acceleration (g),Peak acceleration std (g)
2,0.04905,5,0.805,0.011
3,0.0327,5,0.818,0.018
4,0.024525,5,0.823,0.005
5,0.01962,5,0.903,0.004
6,0.01635,5,0.852,0.024
2,0.04905,10,0.904,0.012
3,0.0327,10,1.485,0.009
4,0.024525,10,1.663,0.006
5,0.01962,10,1.634,0.011
6,0.01635,10,1.674,0.009
2,0.04905,15,0.909,0.009
3,0.0327,15,1.487,0.005
4,0.024525,15,2.081,0.008
5,0.01962,15,2.367,0.004
6,0.01635,15,2.415,0.011
2,0.04905,20,0.901,0.013
3,0.0327,20,1.487,0.005
4,0.024525,20,2.057,0.005
5,0.01962,20,2.867,0.039
6,0.01635,20,3.253,0.018
