Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0402_1005Metric,-1.0,-2.3,180.0,top
C102,100n,C_0402_1005Metric,1.9,-2.3,180.0,top
C103,1u,C_0603_1608Metric,-3.6,-1.1,0.0,top
C104,1u,C_0603_1608Metric,0.2,0.2,180.0,top
C105,1u,C_0603_1608Metric,-5.5,5.8,-90.0,top
C106,100n,C_0402_1005Metric,4.0,-2.3,0.0,top
C107,100n,C_0402_1005Metric,-3.5,3.1,0.0,top
C108,100n,C_0402_1005Metric,1.5,3.1,180.0,top
D101,ESD9X3.3ST5G,D_SOD-923,-3.6,-2.3,0.0,top
J101,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,0.0,-5.4,180.0,top
L101,600Ω @ 100 MHz,L_0603_1608Metric,-5.5,2.8,-90.0,top
R101,120,R_0402_1005Metric,-3.8,0.1,180.0,top
R102,1k,R_0402_1005Metric,-0.6,3.0,0.0,top
R103,7.15k,R_0402_1005Metric,0.2,1.4,180.0,top
U102,MAX3280EAUK,SOT-23-5,4.3,0.3,90.0,top
U103,MAX3280EAUK,SOT-23-5,-3.0,5.7,90.0,top
U104,MAX3280EAUK,SOT-23-5,4.2,5.1,90.0,top
